IMU θ,L_ENC,R_ENC,X,Y,θ,FWD,TURN,MEAS_VEL_L,MEAS_VEL_R
 -0.001,  19225,  23541,  0.044,  0.127, -1.674,  0.074, -0.144,  0.076,  0.068
 -0.001,  19321,  23618,  0.043,  0.112, -1.694,  0.067, -0.150,  0.076,  0.059
 -0.001,  19411,  23686,  0.041,  0.099, -1.718,  0.060, -0.156,  0.076,  0.051
 -0.001,  19493,  23747,  0.039,  0.087, -1.740,  0.054, -0.163,  0.068,  0.051
 -0.001,  19568,  23800,  0.037,  0.076, -1.764,  0.048, -0.167,  0.059,  0.042
 -0.001,  19639,  23846,  0.035,  0.067, -1.790,  0.043, -0.171,  0.059,  0.034
 -0.001,  19652,  23896,  0.034,  0.061, -1.751,  0.000,  0.785, -0.017,  0.059
 -0.001,  19615,  23964,  0.034,  0.059, -1.639,  0.000,  0.785, -0.042,  0.059
 -0.001,  19571,  24034,  0.034,  0.057, -1.517,  0.000,  0.785, -0.042,  0.059
 -0.001,  19521,  24103,  0.034,  0.055, -1.390,  0.000,  0.785, -0.051,  0.059
 -0.001,  19469,  24174,  0.034,  0.053, -1.259,  0.000,  0.785, -0.051,  0.059
 -0.001,  19414,  24245,  0.035,  0.052, -1.124,  0.000,  0.785, -0.051,  0.059
 -0.001,  19357,  24317,  0.035,  0.051, -0.986,  0.000,  0.785, -0.051,  0.068
 -0.001,  19299,  24389,  0.036,  0.050, -0.847,  0.000,  0.785, -0.051,  0.068
 -0.001,  19238,  24461,  0.037,  0.050, -0.705,  0.000,  0.785, -0.051,  0.068
 -0.001,  19177,  24533,  0.037,  0.049, -0.563,  0.000,  0.487, -0.051,  0.059
 -0.001,  19131,  24588,  0.038,  0.049, -0.455,  0.000,  0.411, -0.025,  0.042
 -0.001,  19097,  24635,  0.039,  0.048, -0.376,  0.000,  0.341, -0.025,  0.034
 -0.001,  19071,  24667,  0.040,  0.048, -0.311,  0.000,  0.256, -0.017,  0.017
 -0.001,  19051,  24693,  0.040,  0.048, -0.262,  0.000,  0.202, -0.017,  0.017
 -0.001,  19035,  24714,  0.040,  0.048, -0.222,  0.000,  0.163, -0.017,  0.008
 -0.001,  19023,  24731,  0.041,  0.048, -0.187,  0.000,  0.137, -0.008,  0.008
 -0.001,  19014,  24746,  0.041,  0.048, -0.162,  0.000,  0.110, -0.008,  0.008
 -0.001,  19007,  24762,  0.042,  0.047, -0.137,  0.000,  0.091,  0.000,  0.017
 -0.001,  19006,  24771,  0.043,  0.047, -0.126,  0.000,  0.074,  0.000,  0.008
 -0.001,  19003,  24779,  0.043,  0.047, -0.115,  0.000,  0.059,  0.000,  0.008
 -0.001,  19001,  24788,  0.044,  0.047, -0.103,  0.000,  0.046,  0.000,  0.000
 -0.001,  18999,  24796,  0.044,  0.047, -0.092,  0.000,  0.039,  0.000,  0.008
 -0.001,  18999,  24800,  0.045,  0.047, -0.088,  0.000,  0.033,  0.000,  0.000
 -0.001,  18999,  24804,  0.045,  0.047, -0.084,  0.000,  0.028,  0.000,  0.000
 -0.001,  19001,  24808,  0.045,  0.047, -0.082,  0.038,  0.032,  0.017,  0.017
 -0.001,  19039,  24861,  0.053,  0.047, -0.066,  0.103,  0.028,  0.051,  0.076
 -0.001,  19135,  24981,  0.071,  0.046, -0.040,  0.152,  0.025,  0.110,  0.127
 -0.001,  19280,  25147,  0.098,  0.045, -0.018,  0.182,  0.024,  0.135,  0.152
 -0.001,  19458,  25344,  0.129,  0.045,  0.003,  0.203,  0.018,  0.169,  0.178
 -0.001,  19665,  25561,  0.165,  0.045,  0.013,  0.219, -0.001,  0.186,  0.195
 -0.001,  19889,  25794,  0.204,  0.046,  0.023,  0.228, -0.018,  0.195,  0.203
 -0.001,  20127,  26037,  0.245,  0.047,  0.028,  0.235, -0.035,  0.203,  0.211
