IMU θ,L_ENC,R_ENC,X,Y,θ,FWD,TURN,MEAS_VEL_L,MEAS_VEL_R
 -0.001,   7576,  10438,  0.119,  0.565,  3.056,  0.071, -0.121,  0.085,  0.068
 -0.001,   7663,  10512,  0.106,  0.566,  3.043,  0.063, -0.128,  0.068,  0.051
 -0.001,   7746,  10579,  0.093,  0.567,  3.025,  0.057, -0.134,  0.068,  0.051
 -0.001,   7824,  10639,  0.082,  0.569,  3.006,  0.050, -0.139,  0.068,  0.042
 -0.001,   7894,  10691,  0.071,  0.570,  2.987,  0.044, -0.147,  0.051,  0.042
 -0.001,   7934,  10739,  0.064,  0.572,  2.996,  0.000,  0.785, -0.042,  0.042
 -0.001,   7906,  10811,  0.060,  0.572,  3.102,  0.000,  0.785, -0.034,  0.068
 -0.001,   7860,  10880,  0.058,  0.572, -3.058,  0.000,  0.785, -0.042,  0.059
 -0.001,   7812,  10947,  0.057,  0.572, -2.935,  0.000,  0.785, -0.042,  0.059
 -0.001,   7763,  11017,  0.055,  0.571, -2.808,  0.000,  0.785, -0.034,  0.059
 -0.001,   7708,  11087,  0.054,  0.571, -2.675,  0.000,  0.785, -0.051,  0.059
 -0.001,   7652,  11157,  0.053,  0.570, -2.540,  0.000,  0.785, -0.059,  0.059
 -0.001,   7594,  11228,  0.052,  0.569, -2.402,  0.000,  0.785, -0.051,  0.059
 -0.001,   7534,  11300,  0.051,  0.569, -2.261,  0.000,  0.785, -0.059,  0.068
 -0.001,   7481,  11363,  0.051,  0.568, -2.137,  0.000,  0.453, -0.034,  0.034
 -0.001,   7447,  11408,  0.050,  0.567, -2.053,  0.000,  0.377, -0.017,  0.034
 -0.001,   7415,  11450,  0.050,  0.567, -1.982,  0.000,  0.300, -0.025,  0.034
 -0.001,   7394,  11480,  0.050,  0.566, -1.924,  0.000,  0.239, -0.017,  0.017
 -0.001,   7377,  11507,  0.050,  0.565, -1.877,  0.000,  0.197, -0.017,  0.017
 -0.001,   7364,  11530,  0.049,  0.564, -1.834,  0.000,  0.164, -0.008,  0.017
 -0.001,   7351,  11548,  0.049,  0.564, -1.801,  0.000,  0.138, -0.017,  0.008
 -0.001,   7341,  11563,  0.049,  0.563, -1.774,  0.000,  0.113, -0.008,  0.008
 -0.001,   7332,  11579,  0.049,  0.563, -1.748,  0.000,  0.095, -0.008,  0.017
 -0.001,   7326,  11590,  0.049,  0.562, -1.729,  0.000,  0.074, -0.008,  0.008
 -0.001,   7325,  11596,  0.049,  0.562, -1.722,  0.000,  0.061,  0.000,  0.008
 -0.001,   7321,  11603,  0.049,  0.562, -1.710,  0.000,  0.047,  0.000,  0.000
 -0.001,   7319,  11609,  0.049,  0.561, -1.702,  0.000,  0.038,  0.000,  0.000
 -0.001,   7319,  11615,  0.049,  0.561, -1.695,  0.000,  0.033,  0.000,  0.008
 -0.001,   7319,  11619,  0.049,  0.560, -1.691,  0.000,  0.027,  0.000,  0.008
